Date	matchname	Gender	WinningTeam	Byrun	Bywicket	Overs	Team1	Team2	TossWinner	TossDecision	Venue	MatchId
2010-03-04	Zimbabwe in West Indies ODI Series--1827	male	Zimbabwe	2.0		50	West Indies	Zimbabwe	Zimbabwe	bat	Providence Stadium	1827.0
2010-03-06	Zimbabwe in West Indies ODI Series--1828	male	West Indies		4.0	50	West Indies	Zimbabwe	Zimbabwe	bat	Providence Stadium	1828.0
2010-03-10	Zimbabwe in West Indies ODI Series--1829	male	West Indies	141.0		50	West Indies	Zimbabwe	Zimbabwe	field	Arnos Vale Ground, Kingstown	1829.0
2010-03-12	Zimbabwe in West Indies ODI Series--1830	male	West Indies		4.0	50	West Indies	Zimbabwe	West Indies	field	Arnos Vale Ground, Kingstown	1830.0
2010-03-14	Zimbabwe in West Indies ODI Series--1831	male	West Indies		4.0	50	West Indies	Zimbabwe	West Indies	field	Arnos Vale Ground, Kingstown	1831.0
2010-05-22	South Africa in West Indies ODI Series--1832	male	South Africa	66.0		50	West Indies	South Africa	West Indies	field	Sir Vivian Richards Stadium, North Sound	1832.0
2010-05-24	South Africa in West Indies ODI Series--1833	male	South Africa	17.0		50	West Indies	South Africa	South Africa	bat	Sir Vivian Richards Stadium, North Sound	1833.0
2010-05-28	South Africa in West Indies ODI Series--1834	male	South Africa	67.0		50	West Indies	South Africa	South Africa	bat	Windsor Park, Roseau	1834.0
2010-05-30	South Africa in West Indies ODI Series--1835	male	South Africa		7.0	50	West Indies	South Africa	West Indies	bat	Windsor Park, Roseau	1835.0
2010-06-03	South Africa in West Indies ODI Series--1836	male	South Africa		1.0	50	West Indies	South Africa	West Indies	bat	Queen's Park Oval, Port of Spain	1836.0
2010-02-21	South Africa in India ODI Series--1837	male	India	1.0		50	India	South Africa	South Africa	field	Sawai Mansingh Stadium	1837.0
2010-02-24	South Africa in India ODI Series--1838	male	India	153.0		50	India	South Africa	India	bat	Captain Roop Singh Stadium	1838.0
2010-02-27	South Africa in India ODI Series--1839	male	South Africa	90.0		50	India	South Africa	South Africa	bat	Sardar Patel Stadium, Motera	1839.0
2010-11-03	Sri Lanka in Australia ODI Series--1840	male	Sri Lanka		1.0	50	Australia	Sri Lanka	Australia	bat	Melbourne Cricket Ground	1840.0
2010-11-05	Sri Lanka in Australia ODI Series--1841	male	Sri Lanka	29.0		50	Australia	Sri Lanka	Sri Lanka	bat	Sydney Cricket Ground	1841.0
2010-11-07	Sri Lanka in Australia ODI Series--1842	male	Australia		8.0	50	Australia	Sri Lanka	Sri Lanka	bat	Brisbane Cricket Ground, Woolloongabba	1842.0
2011-01-16	England in Australia ODI Series--1843	male	Australia		6.0	50	Australia	England	England	bat	Melbourne Cricket Ground	1843.0
2011-01-21	England in Australia ODI Series--1844	male	Australia	46.0		50	Australia	England	England	field	Bellerive Oval	1844.0
2011-01-23	England in Australia ODI Series--1845	male	Australia		4.0	50	Australia	England	England	bat	Sydney Cricket Ground	1845.0
2011-01-26	England in Australia ODI Series--1846	male	England	21.0		50	Australia	England	England	bat	Adelaide Oval	1846.0
2011-01-30	England in Australia ODI Series--1847	male	Australia	51.0		50	Australia	England	Australia	bat	Brisbane Cricket Ground, Woolloongabba	1847.0
2011-02-02	England in Australia ODI Series--1848	male	Australia		2.0	50	Australia	England	England	bat	Sydney Cricket Ground	1848.0
